977746;ОК;79.99
977747;ОК;79.99
977748;ОК;89.99
977749;ОК;89.99
977750;ОК;119.99
977751;ОК;119.99
977752;ОК;139.99
977753;ОК;139.99
977754;ОК;149.99
977755;ОК;149.99
977756;ОК;159.99
977757;ОК;159.99
977758;ОК;179.99
977759;ОК;179.99
977760;ОК;0.01
977356;ОК;79.99
977357;ОК;79.99
977358;ОК;89.99
977359;ОК;89.99
977360;ОК;119.99
977361;ОК;119.99
977362;ОК;139.99
977363;ОК;139.99
977364;ОК;149.99
977365;ОК;149.99
977366;ОК;159.99
977367;ОК;159.99
977368;ОК;179.99
977369;ОК;179.99
977370;ОК;0.01
967884;ОК;79.99
967885;ОК;79.99
967886;ОК;89.99
967887;ОК;89.99
967888;ОК;119.99
967889;ОК;119.99
967890;ОК;139.99
967891;ОК;139.99
967892;ОК;149.99
967893;ОК;149.99
967894;ОК;159.99
967895;ОК;159.99
967896;ОК;179.99
967897;ОК;179.99
967898;ОК;0.01
967899;ОК;79.99
967900;ОК;79.99
967901;ОК;89.99
967902;ОК;89.99
967903;ОК;119.99
967904;ОК;119.99
967905;ОК;139.99
967906;ОК;139.99
967907;ОК;149.99
967908;ОК;149.99
967909;ОК;159.99
967910;ОК;159.99
967911;ОК;179.99
967912;ОК;179.99
967913;ОК;0.01
967734;ОК;79.99
967735;ОК;79.99
967736;ОК;89.99
967737;ОК;89.99
967738;ОК;119.99
967739;ОК;119.99
967740;ОК;139.99
967741;ОК;139.99
967742;ОК;149.99
967743;ОК;149.99
967744;ОК;159.99
967745;ОК;159.99
967746;ОК;179.99
967747;ОК;179.99
967748;ОК;0.01
967719;ОК;79.99
967720;ОК;79.99
967721;ОК;89.99
967722;ОК;89.99
967723;ОК;119.99
967724;ОК;119.99
967725;ОК;139.99
967726;ОК;139.99
967727;ОК;149.99
967728;ОК;149.99
967729;ОК;159.99
967730;ОК;159.99
967731;ОК;179.99
967732;ОК;179.99
967733;ОК;0.01
000013;Ошибка;
000014;Ошибка;
000015;Ошибка;
000017;Ошибка;
000018;Ошибка;
000019;Ошибка;
000020;Ошибка;
000026;Ошибка;
978352;ОК;80
978353;ОК;80
978354;ОК;90
978355;ОК;90
978356;ОК;120
978357;ОК;120
978358;ОК;140
978359;ОК;140
978360;ОК;150
978361;ОК;150
978362;ОК;160
978363;ОК;160
978364;ОК;180
978365;ОК;180
978366;ОК;200
978370;ОК;80
978371;ОК;80
978372;ОК;90
978373;ОК;90
978374;ОК;120
978375;ОК;120
978376;ОК;140
978377;ОК;140
978378;ОК;150
978379;ОК;150
978380;ОК;160
978381;ОК;160
978382;ОК;180
978383;ОК;180
978384;ОК;200
968020;ОК;69.99
968021;ОК;69.99
968022;ОК;79.99
968023;ОК;79.99
968024;ОК;89.99
968025;ОК;89.99
968026;ОК;119.99
968027;ОК;119.99
968028;ОК;139.99
968029;ОК;139.99
968030;ОК;149.99
968031;ОК;149.99
968032;ОК;159.99
968033;ОК;159.99
968034;ОК;179.99
968035;ОК;179.99
968036;ОК;0.01
968088;ОК;69.9915
968089;ОК;69.9915
968090;ОК;79.9915
968091;ОК;79.9915
968092;ОК;89.9915
968093;ОК;89.9915
968094;ОК;119.9915
968095;ОК;119.9915
968096;ОК;139.9915
968097;ОК;139.9915
968098;ОК;149.9915
968099;ОК;149.9915
968100;ОК;159.9915
968101;ОК;159.9915
968102;ОК;179.9915
968103;ОК;179.9915
968104;ОК;0.0085
968003;ОК;69.99
968004;ОК;69.99
968005;ОК;79.99
968006;ОК;79.99
968007;ОК;89.99
968008;ОК;89.99
968009;ОК;119.99
968010;ОК;119.99
968011;ОК;139.99
968012;ОК;139.99
968013;ОК;149.99
968014;ОК;149.99
968015;ОК;159.99
968016;ОК;159.99
968017;ОК;179.99
968018;ОК;179.99
968019;ОК;0.01
968037;ОК;69.99
968038;ОК;69.99
968039;ОК;79.99
968040;ОК;79.99
968041;ОК;89.99
968042;ОК;89.99
968043;ОК;119.99
968044;ОК;119.99
968045;ОК;139.99
968046;ОК;139.99
968047;ОК;149.99
968048;ОК;149.99
968049;ОК;159.99
968050;ОК;159.99
968051;ОК;179.99
968052;ОК;179.99
968053;ОК;0.01
978334;ОК;79.99
978335;ОК;79.99
978336;ОК;89.99
978337;ОК;89.99
978338;ОК;119.99
978339;ОК;119.99
001032;Ошибка;
001033;Ошибка;
001034;Ошибка;
001035;Ошибка;
001036;Ошибка;
001039;Ошибка;
001040;Ошибка;
983048;ОК;89.99
983049;ОК;139.99
983050;ОК;159.99
983051;ОК;179.99
